Name,scope 1 - Gases (mt CO2),scope 2 - Electricity (mt CO2),scope 3 - Other Indirect Emissions (mt CO2),Employees,Revenue (GBP),Stationary Combustion (mt CO2),Fugitive Emissions (mt CO2),Mobile Combustion (mt CO2),Electricity Emissions (Location-based) - mt CO2,Electricity Emissions (Market-based) - mt CO2
Supermarket A,34338,17093,,7344,48463632.69,5282,5047,4738,17093,17136
Supermarket B,8849,7153,2605043.286,2689,13716005,1362,1300,1221,7153,16208
Supermarket C,65975,14305,427634.7143,7007,39083574.75,10160,9698,9104,14305,10620
Supermarket D,108556,195328,5345433.929,37788,251307385.6,16717,15957,14980,195328,203684
Supermarket E,28867,45964,,11068,59797869.37,4445,4243,3983,45964,120
Supermarket F,7138,22986,,2694,11658604.25,1099,1049,985,22986,24603
Supermarket G,2858,7675,571428.5714,1633,7218950,440,420,395,7675,5316
Supermarket H,11295,24102,,4357,26493546.5,1739,1660,1558,24102,44
Supermarket I,16616,23000,819984,354448,58100000000,,,,718222,13631
Supermarket J,522384,396009,14967215,111900,32400000000,,,,396009,328792
Supermarket K,367914,311954,,118000,17600000000,141572,85039,2140,311954,
Supermarket L,6100000,12020000,,145000,22899000,106349,109047,150536,298538,
Supermarket M,157000,141000,32000000,69577,10180000000,,,,141000,
Supermarket C,,130352,,83000,5400000000,,,,130352,5817
Supermarket N,482321,869647,36470606,354851,43114144544,,,,869646,
Supermarket O,162073,99344,29239,28939,4452619831,1538,96231,64304,99344,
Supermarket P,1432000,2148000,,321000,69686967069,,,,9651000,